,0,1,2,3,4,5
153,NT Binh,Positif,France,Million Dollar Baby,Clint Eastwood,2004
154,NT Binh,Positif,France,In the Mood for Love,Wong Kar-wai,2000
155,NT Binh,Positif,France,Leviathan,Andrey Zvyagintsev,2014
156,NT Binh,Positif,France,A Touch of Sin,Jia Zhangke,2013
157,NT Binh,Positif,France,Distant,Nuri Bilge Ceylan,2002
158,NT Binh,Positif,France,The New World,Terrence Malick,2005
159,NT Binh,Positif,France,A Prophet,Jacques Audiard,2009
160,Lizelle Bisschoff,University of Glasgow,UK,Timbuktu,Abderrahmane Sissako,2014
161,Lizelle Bisschoff,University of Glasgow,UK,Blue Is the Warmest Color,Abdellatif Kechiche,2013
162,Lizelle Bisschoff,University of Glasgow,UK,Moolaadé,Ousmane Sembèène,2004
163,Lizelle Bisschoff,University of Glasgow,UK,A Separation,Asghar Farhadi,2011
164,Lizelle Bisschoff,University of Glasgow,UK,The Secret in Their Eyes,Juan José Campanella,2009
165,Lizelle Bisschoff,University of Glasgow,UK,Oldboy,Park Chan-wook,2003
166,Lizelle Bisschoff,University of Glasgow,UK,In the Mood for Love,Wong Kar-wai,2000
167,Lizelle Bisschoff,University of Glasgow,UK,Fat Girl,Catherine Breillat,2001
168,Lizelle Bisschoff,University of Glasgow,UK,The Orphanage,J. A. Bayona,2007
169,Lizelle Bisschoff,University of Glasgow,UK,The Hunt,Thomas Vinterberg,2012
170,Christian Blauvelt,BBC Culture,US,Spring Breakers,Harmony Korine,2012
171,Christian Blauvelt,BBC Culture,US,My Winnipeg,Guy Maddin,2007
172,Christian Blauvelt,BBC Culture,US,The Ghost Writer,Roman Polanski,2010
173,Christian Blauvelt,BBC Culture,US,Moulin Rouge!,Baz Luhrmann,2001
174,Christian Blauvelt,BBC Culture,US,Star Wars: Episode III – Revenge of the Sith,George Lucas,2005
175,Christian Blauvelt,BBC Culture,US,Manakamana,Pacho Velez and Stephanie Spray,2013
176,Christian Blauvelt,BBC Culture,US,The Curious Case of Benjamin Button,David Fincher,2008
177,Christian Blauvelt,BBC Culture,US,"You, The Living",Roy Andersson,2007
178,Christian Blauvelt,BBC Culture,US,Mother,Bong Joon-ho,2009
179,Christian Blauvelt,BBC Culture,US,A Serious Man,Joel and Ethan Coen,2009
180,Mahen Bonetti,African Film Festival Inc,US,Moolaadé,Ousmane Sembène,2004
181,Mahen Bonetti,African Film Festival Inc,US,Timbuktu,Abderrahmane Sissako,2014
182,Mahen Bonetti,African Film Festival Inc,US,Cuba: An African Odyssey,Jihan El-Tahri,2007
183,Mahen Bonetti,African Film Festival Inc,US,"Sexe, gombo et beurre salé",Mahamat-Saleh Haroun,2008
184,Mahen Bonetti,African Film Festival Inc,US,Shoot the Messenger,Ngozi Onwurah,2006
